2025-05-03 12:07:13 - DEBUG - Script started
2025-05-03 12:07:13 - DEBUG - Calling CreateGUI()
2025-05-03 12:07:13 - DEBUG - CreateGUI() called
2025-05-03 12:07:13 - DEBUG - GUI displayed
2025-05-03 12:07:13 - INFO - Starting model discovery in directory: C:\Git\3DAudioStudio\models\
2025-05-03 12:07:13 - INFO - No files found in models directory: C:\Git\3DAudioStudio\models\. Please add model files to proceed.
2025-05-03 12:07:13 - DEBUG - LoadModels() called
2025-05-03 12:07:13 - DEBUG - UpdateParameterVisibility() called
2025-05-03 12:07:17 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:18 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:18 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:18 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:18 - DEBUG - LoadModels() called
2025-05-03 12:07:18 - DEBUG - UpdateParameterVisibility() called
2025-05-03 12:07:20 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:21 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:21 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:21 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:21 - DEBUG - LoadModels() called
2025-05-03 12:07:21 - DEBUG - UpdateParameterVisibility() called
2025-05-03 12:07:24 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:25 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:25 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:25 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:25 - DEBUG - LoadModels() called
2025-05-03 12:07:25 - DEBUG - UpdateParameterVisibility() called
2025-05-03 12:07:35 - DEBUG - WM_COMMAND() called
2025-05-03 12:07:35 - DEBUG - WM_COMMAND() called
2025-05-03 13:03:15 - DEBUG - WM_COMMAND() called
2025-05-03 13:03:16 - INFO - GUI closed by user
